gflops,algo,r
103.05,base,0.0
101.59,tome,0.1
96.85,tome,0.2
92.68,tome,0.3
89.07,tome,0.4
86.02,tome,0.5
112.19,pitome,0.1
107.41,pitome,0.2
103.20,pitome,0.3
99.81,pitome,0.4
96.67,pitome,0.5
99.34,prune,0.1
94.60,prune,0.2
90.43,prune,0.3
86.82,prune,0.4
83.78,prune,0.5
99.34,patch,0.1
94.60,patch,0.2
90.43,patch,0.3
86.82,patch,0.4
83.78,patch,0.5
81.46,patch,0.6
79.50,patch,0.7
78.09,patch,0.8
77.25,patch,0.9
89.92,wpatch,0.1
87.49,wpatch,0.2
85.38,wpatch,0.3
83.51,wpatch,0.4
81.96,wpatch,0.5
81.95,wpatch,0.6
79.78,wpatch,0.7
77.92,wpatch,0.8
76.59,wpatch,0.9
77.21,patch,0.95
81.46,prune,0.6
79.50,prune,0.7
78.09,prune,0.8
77.25,prune,0.9
77.21,prune,0.95
